-,-,-
8.86,-4.94,-2.93
8.12,-5.00,-2.65
7.24,-4.54,-1.79
6.64,-4.28,-2.62
5.31,-3.52,-1.49
1.75,-1.73,0.81
1.90,0.62,3.77
12.78,1.53,-2.79
20.71,1.92,-1.46
17.14,1.56,-7.54
22.30,0.67,-13.02
17.57,1.71,-7.49
13.62,1.06,-7.37
10.34,0.04,-7.22
6.49,-0.65,-2.82
1.16,-2.64,-1.47
-0.43,-3.96,-1.83
0.16,-3.89,1.26
1.68,-2.85,0.77
1.78,-0.40,1.21
6.43,1.51,-3.10
15.84,2.25,-3.84
21.44,1.75,-4.68
29.16,0.71,-10.96
24.03,2.22,-11.10
13.01,3.61,-6.65
4.08,0.93,-7.06
-0.19,-1.78,-3.41
-4.91,-4.20,-0.66
2.34,-5.24,-1.35
7.20,-5.31,-3.56
6.01,-4.92,-2.77
4.45,-4.49,-3.02
10.77,-4.86,-4.88




-,-,-
8.46,-4.46,-3.23
8.23,-4.22,-2.41
6.87,-3.68,-1.47
3.81,-2.87,-0.89
2.11,-0.87,1.64
6.46,1.55,3.07
17.61,1.61,-2.34
21.68,1.15,-8.03
20.56,1.00,-11.95
16.29,1.36,-8.14
13.27,0.22,-7.84
8.87,-0.62,-4.99
5.35,-1.98,-4.70
1.01,-3.34,-4.35
0.07,-3.82,-1.08
0.66,-3.51,-0.70
-0.34,-1.68,0.57
-1.78,2.25,2.39
15.52,4.28,-0.12
32.39,2.78,-4.42
28.08,2.53,-11.26
19.80,3.57,-8.52
11.68,3.13,-6.88
1.77,0.45,-5.01
-2.90,-2.89,-4.17
-1.21,-4.32,-3.40
5.44,-4.62,-2.92
6.71,-4.44,-4.49
7.15,-4.09,-3.36




-,-,-
8.94,-3.91,-2.94
7.99,-3.63,-3.16
6.77,-3.17,-3.10
5.09,-2.15,-1.07
5.06,-1.21,0.88
3.73,0.75,4.47
14.95,1.56,-2.84
25.44,0.73,-9.19
20.92,1.21,-7.81
17.06,1.18,-8.22
13.23,0.32,-9.22
7.43,-0.08,-3.45
-1.22,-2.63,-4.86
0.35,-4.23,-3.10
5.06,-4.19,0.64
2.63,-3.87,-2.84
1.09,-2.67,-3.64
4.97,-0.69,-0.99
8.91,0.88,1.25
11.91,3.08,5.04
31.56,2.26,-3.39
37.81,3.40,-7.86
14.15,6.82,-13.52
-3.78,1.79,-6.69
-1.13,-3.15,-4.80
-1.08,-4.61,-2.85
3.36,-4.79,-3.51
7.24,-4.16,-4.14
9.13,-3.75,-4.73
11.26,-3.70,-4.95
11.73,-3.98,-4.36
6.32,-3.81,-2.29




-,-,-
9.37,-3.66,-3.00
7.66,-3.04,-2.26
4.16,-2.21,-1.32
5.05,-1.08,-1.68
1.13,0.74,4.32
7.98,3.13,3.28
30.68,0.59,-11.68
25.21,1.75,-7.26
13.47,2.50,-6.83
10.15,0.02,-10.17
8.39,-0.88,-3.18
