-,-,-
3.53,1.22,9.46
2.38,1.36,8.93
2.53,1.81,10.02
2.49,2.02,11.68
3.18,1.95,11.01
2.14,2.18,11.34
5.01,2.15,12.48
6.27,1.57,10.82
6.06,1.33,11.84
7.85,0.86,11.36
7.29,0.49,10.11
6.17,0.04,9.58
6.77,-0.44,8.10
6.32,-0.87,6.99
6.89,-1.33,5.62
6.32,-1.23,6.05
4.47,-1.43,5.25
4.31,-1.70,4.45
2.88,-1.34,4.58
1.39,-1.15,5.30
0.47,-1.08,6.28
-0.76,-0.85,5.01
-1.34,-0.37,5.71
-0.19,-0.34,9.28
-2.58,0.42,6.74
-0.03,0.93,9.43
-1.61,1.73,12.74
-0.13,2.30,13.59
2.42,2.01,11.75
2.60,2.13,12.12
3.53,2.06,12.90
5.94,1.86,10.96
8.45,1.40,7.99
7.28,1.05,9.17
6.59,0.95,9.79




-,-,-
2.12,0.82,8.83
1.13,1.14,8.37
2.20,1.63,10.37
1.81,1.93,12.96
2.81,2.01,14.49
4.71,2.01,13.74
7.76,1.49,13.18
8.52,1.24,11.18
9.66,0.53,8.47
7.18,-0.19,7.83
6.25,-0.76,7.42
5.75,-1.22,6.11
4.45,-1.30,7.12
4.28,-1.42,6.41
4.59,-1.61,5.95
2.03,-1.49,5.05
2.64,-1.69,5.73
1.82,-1.32,4.67
-0.59,-1.32,4.01
-0.85,-1.48,6.92
1.58,-1.47,5.32
-3.61,-0.32,3.65
-0.86,-0.34,10.64
-3.89,0.62,10.69
-2.17,1.49,12.44
-0.42,1.55,16.26
-0.39,1.66,12.73
1.13,1.56,10.99
2.88,1.32,11.40
2.41,1.29,9.88
4.96,1.31,10.21
6.56,1.14,9.47
6.40,1.40,8.84
6.29,1.16,10.31




-,-,-
3.16,1.94,8.92
2.40,1.90,10.94
1.95,1.83,9.70
1.81,1.85,12.06
2.43,1.82,12.29
4.29,1.53,12.22
6.50,1.43,10.36
8.28,1.36,11.80
7.55,0.99,10.81
7.62,0.66,9.39
6.33,0.38,8.19
5.47,-0.07,8.58
5.69,-0.22,8.69
5.69,-0.23,10.27
4.44,-0.11,9.15
5.08,-0.62,5.94
3.94,-1.00,5.25
2.98,-1.38,4.29
2.02,-1.38,3.44
1.13,-1.65,4.29
0.47,-1.42,3.40
-0.55,-1.28,4.25
-1.32,-0.41,4.78
-0.67,0.15,8.44
-3.15,0.93,9.76
-2.73,1.56,11.09
0.26,1.93,13.92
0.56,2.34,12.77
1.98,2.40,14.89
2.36,2.20,11.62
3.81,1.77,10.56
4.60,1.58,11.51
4.06,1.52,9.97
6.06,1.07,8.71
6.57,0.86,7.73




-,-,-
3.79,1.40,9.73
2.51,1.56,8.23
1.56,1.61,10.86
0.75,1.92,14.26
2.04,2.34,14.19
6.53,2.01,12.07
7.01,1.81,11.19
7.48,1.56,12.22
9.14,1.06,9.64
7.25,0.32,9.21
6.11,-0.27,8.53
6.27,-0.58,6.90
5.19,-1.03,5.90
3.73,-1.31,5.23
4.39,-1.61,3.71
3.56,-1.58,3.20
1.71,-1.50,5.37
1.15,-1.62,7.83
0.91,-1.73,4.73
0.48,-1.57,5.66
0.03,-0.98,6.71
-0.50,-0.67,7.75
-1.85,-0.03,8.26
0.88,-0.24,9.48
-3.54,0.99,8.47
0.20,1.27,13.55
-0.44,1.85,13.81
1.14,1.88,12.01
1.28,2.24,10.86
5.20,1.81,11.42
2.95,1.63,9.50
5.12,1.89,10.49
7.32,1.58,9.93
5.23,1.82,9.16




-,-,-
1.43,1.76,10.68
0.42,1.87,10.67
1.96,2.49,14.10
4.91,2.80,15.89
6.51,2.43,13.13
8.17,1.69,11.32
7.63,0.80,8.61
7.07,0.06,8.19
7.20,-0.34,7.16
5.50,-0.66,6.54
4.66,-0.94,6.91
4.93,-1.00,6.17
4.94,-1.17,5.49
3.21,-1.40,3.69
1.68,-1.75,5.12
1.72,-2.10,5.62
1.63,-1.87,3.23
1.05,-1.59,4.73
-0.55,-1.01,7.70
-0.12,-0.58,6.89
-3.34,0.19,10.42
-0.49,0.24,12.03
-0.34,1.22,11.94
0.16,1.53,13.18
0.47,1.58,13.28
2.06,1.69,11.70
4.71,1.43,10.94
4.27,1.17,9.20
4.59,1.44,10.17
5.98,1.13,10.30
5.15,1.07,8.91




-,-,-
2.01,1.46,9.70
2.20,1.63,10.94
1.82,1.75,12.14
2.83,2.18,14.05
6.42,1.99,13.60
7.45,1.69,12.07
9.22,1.08,11.31
8.09,0.39,8.54
7.37,-0.30,7.01
6.76,-0.68,6.42
4.83,-0.85,5.40
5.04,-1.22,5.31
4.88,-1.41,4.35
3.21,-1.43,3.34
2.47,-1.53,6.68
0.36,-1.23,8.89
1.71,-1.59,7.40
0.86,-1.40,3.25
-0.12,-1.23,7.30
-0.89,-1.13,6.10
-0.55,-0.88,6.90
-0.83,-0.35,7.44
-0.91,0.43,11.14
-0.37,1.15,13.40
1.63,1.36,14.56
2.45,1.41,13.09
3.46,1.43,11.67
4.79,1.42,11.08
6.80,0.88,8.78
6.40,0.79,8.61
5.69,1.01,9.93
5.45,0.78,9.17
4.31,0.86,7.93
4.41,0.90,9.77
3.99,1.06,9.16
4.10,1.04,8.83




-,-,-
2.18,1.29,8.90
1.25,1.49,10.97
0.62,1.66,12.81
2.03,1.83,14.85
6.34,1.44,11.72
6.78,1.11,10.84
6.21,0.71,11.46
6.44,0.32,10.11
5.95,0.04,9.73
5.35,-0.25,9.46
5.75,-0.41,8.50
4.24,-0.75,5.42
3.74,-1.29,4.63
1.94,-1.53,2.93
0.96,-1.75,2.16
-0.48,-1.55,4.97
-0.28,-1.53,5.28
-3.17,-0.72,6.47
-0.80,-0.80,8.55
-1.97,-0.33,9.42
-1.53,0.09,9.83
-1.28,0.62,10.89
0.06,0.78,10.16
0.74,1.32,10.61
1.79,1.68,13.12
2.89,1.56,12.62
4.60,1.39,11.04
5.60,1.38,9.93
5.02,1.21,9.81
5.54,1.21,9.48
5.44,1.19,9.69
4.95,1.23,8.72




-,-,-
3.35,1.43,9.58
1.73,1.47,10.85
4.26,1.23,12.29
